shipment_id,product_id,stock_on_hand,recorded_at
S00064,Muck Forks / Stable Forks,14094,15/01/2025 13:08
S00065,Feed Buckets / Feed Tubs,8698,09/01/2025 10:24
S00066,Storage Bins / Feed Storage,26168,04/02/2025 11:53
S00067,Feed Buckets / Feed Tubs,7168,22/01/2025 14:34
S00068,Shovels / Rakes,6351,11/01/2025 19:51
S00069,Manure Scoops,7852,15/01/2025 07:38
S00070,Manure Scoops,5890,10/01/2025 08:33
S00071,Hay Nets / Hay Bags,15368,03/02/2025 19:26
S00072,Storage Bins / Feed Storage,12299,06/02/2025 21:25
S00073,Water Troughs / Water Buckets,8009,08/01/2025 05:52
S00074,Stable Brooms / Yard Brushes,6608,11/01/2025 15:24
S00075,Water Troughs / Water Buckets,8009,08/01/2025 17:34
S00076,Water Troughs / Water Buckets,16392,16/01/2025 12:14
S00077,Feed Buckets / Feed Tubs,10350,24/01/2025 06:08
S00078,Stable Brooms / Yard Brushes,20345,31/01/2025 20:02
S00079,Shovels / Rakes,7736,01/02/2025 20:10
S00080,Water Troughs / Water Buckets,7481,12/01/2025 12:47
S00081,Shovels / Rakes,8728,22/01/2025 06:47
S00082,Manure Scoops,514,11/01/2025 14:08
S00083,Manure Scoops,1068,08/01/2025 19:56
S00084,Water Troughs / Water Buckets,7481,12/01/2025 11:30
S00085,Hay Nets / Hay Bags,12061,26/01/2025 13:08
S00086,Manure Scoops,10166,13/01/2025 05:35
S00087,Muck Forks / Stable Forks,8567,21/01/2025 15:13
S00088,Shovels / Rakes,18702,30/01/2025 10:12
S00089,Manure Scoops,12354,16/01/2025 05:58
S00090,Manure Scoops,8275,14/01/2025 15:26
S00091,Feed Buckets / Feed Tubs,9544,15/01/2025 09:11
S00092,Rubber Matting (for stalls and walkways),1308,30/01/2025 05:40
S00093,Hay Nets / Hay Bags,13201,25/01/2025 13:43
S00094,Shovels / Rakes,4983,14/01/2025 10:53
S00095,Stable Brooms / Yard Brushes,2289,08/01/2025 05:41
S00096,Manure Scoops,12354,16/01/2025 18:46
S00097,Hay Nets / Hay Bags,6869,23/01/2025 21:34
S00098,Stable Brooms / Yard Brushes,24061,21/01/2025 17:57
S00099,Water Troughs / Water Buckets,13657,10/01/2025 20:07
S00100,Feed Buckets / Feed Tubs,8698,09/01/2025 16:26
S00101,Water Troughs / Water Buckets,19717,14/01/2025 20:01
S00102,Muck Forks / Stable Forks,4014,11/01/2025 07:54
S00103,Water Troughs / Water Buckets,8513,11/01/2025 18:34
S00104,Muck Forks / Stable Forks,19991,20/01/2025 18:42
S00105,Muck Forks / Stable Forks,14535,22/01/2025 18:17
S00106,Shovels / Rakes,8166,16/01/2025 06:08
S00107,Feed Buckets / Feed Tubs,17406,20/01/2025 20:58
S00108,Rubber Matting (for stalls and walkways),17229,03/02/2025 15:43
S00109,Shovels / Rakes,263,10/01/2025 14:58
S00110,Storage Bins / Feed Storage,22997,22/01/2025 15:33
S00111,Storage Bins / Feed Storage,14351,05/02/2025 11:44
S00112,Rubber Matting (for stalls and walkways),17229,03/02/2025 05:30
S00113,Feed Buckets / Feed Tubs,37347,21/01/2025 21:32
S00114,Stable Brooms / Yard Brushes,10896,02/02/2025 18:12
S00115,Rubber Matting (for stalls and walkways),,
S00116,Feed Buckets / Feed Tubs,17310,14/01/2025 17:18
S00117,Manure Scoops,10166,13/01/2025 09:12
S00118,Storage Bins / Feed Storage,22997,22/01/2025 10:21
S00119,Stable Brooms / Yard Brushes,6608,11/01/2025 08:52
S00120,Muck Forks / Stable Forks,4014,11/01/2025 16:57
S00121,Storage Bins / Feed Storage,26168,04/02/2025 14:51
S00122,Shovels / Rakes,4146,12/01/2025 14:01
S00123,Water Troughs / Water Buckets,11484,15/01/2025 06:52
S00124,Stable Brooms / Yard Brushes,15537,12/01/2025 13:11
S00125,Shovels / Rakes,6047,21/01/2025 05:48
S00126,Shovels / Rakes,18702,30/01/2025 20:37
S00127,Feed Buckets / Feed Tubs,12863,23/01/2025 11:06
S00128,Muck Forks / Stable Forks,12558,16/01/2025 21:03
S00129,Storage Bins / Feed Storage,14850,07/02/2025 15:23
S00130,Storage Bins / Feed Storage,26168,04/02/2025 16:50
S00131,Feed Buckets / Feed Tubs,9544,15/01/2025 12:30
S00132,Shovels / Rakes,11522,27/01/2025 19:41
S00133,Muck Forks / Stable Forks,22220,07/02/2025 14:51
S00134,Hay Nets / Hay Bags,1353,12/01/2025 09:26
S00135,Muck Forks / Stable Forks,12558,16/01/2025 16:36
S00136,Water Troughs / Water Buckets,20315,13/01/2025 05:26
S00137,Rubber Matting (for stalls and walkways),5524,24/01/2025 21:57
S00138,Feed Buckets / Feed Tubs,10560,11/01/2025 18:46
S00139,Water Troughs / Water Buckets,13657,10/01/2025 18:37
S00140,Feed Buckets / Feed Tubs,37347,21/01/2025 12:41
S00141,Water Troughs / Water Buckets,9514,07/01/2025 16:40
S00142,Storage Bins / Feed Storage,7804,12/01/2025 12:14
S00143,Feed Buckets / Feed Tubs,10137,18/01/2025 12:09
S00144,Rubber Matting (for stalls and walkways),260,21/01/2025 12:49
S00145,Feed Buckets / Feed Tubs,27615,29/01/2025 15:38
S00146,Water Troughs / Water Buckets,20315,13/01/2025 13:01
S00147,Stable Brooms / Yard Brushes,17863,23/01/2025 11:30
S00148,Water Troughs / Water Buckets,8513,11/01/2025 10:31
S00149,Muck Forks / Stable Forks,2658,25/01/2025 08:44
S00150,Muck Forks / Stable Forks,3574,23/01/2025 20:24
S00151,Stable Brooms / Yard Brushes,24030,22/01/2025 07:38
S00152,Water Troughs / Water Buckets,19717,14/01/2025 20:43
S00153,Storage Bins / Feed Storage,22997,22/01/2025 12:02
S00154,Water Troughs / Water Buckets,5548,09/01/2025 18:59
S00155,Water Troughs / Water Buckets,9514,07/01/2025 11:05
S00156,Storage Bins / Feed Storage,19228,02/02/2025 07:34
S00157,Stable Brooms / Yard Brushes,19106,29/01/2025 18:11
S00158,Feed Buckets / Feed Tubs,17310,14/01/2025 07:31
S00159,Water Troughs / Water Buckets,13657,10/01/2025 13:45
S00160,Manure Scoops,20262,18/01/2025 15:02
S00161,Water Troughs / Water Buckets,13657,10/01/2025 21:58
S00162,Manure Scoops,5890,10/01/2025 12:29
S00163,Rubber Matting (for stalls and walkways),17229,03/02/2025 20:45
S00164,Storage Bins / Feed Storage,,
S00165,Feed Buckets / Feed Tubs,9544,15/01/2025 06:36
S00166,Shovels / Rakes,6351,11/01/2025 14:03
S00167,Feed Buckets / Feed Tubs,10195,12/01/2025 08:11
S00168,Feed Buckets / Feed Tubs,9544,15/01/2025 07:39
S00169,Rubber Matting (for stalls and walkways),10185,05/02/2025 06:42
S00170,Stable Brooms / Yard Brushes,5676,19/01/2025 05:59
S00171,Storage Bins / Feed Storage,3477,11/01/2025 17:41
S00172,Manure Scoops,12354,16/01/2025 09:41
S00173,Feed Buckets / Feed Tubs,10560,11/01/2025 08:20
S00174,Rubber Matting (for stalls and walkways),9458,23/01/2025 17:58
S00175,Feed Buckets / Feed Tubs,10560,11/01/2025 12:01
S00176,Stable Brooms / Yard Brushes,6073,10/01/2025 07:47
S00177,Feed Buckets / Feed Tubs,6812,13/01/2025 13:27
S00178,Stable Brooms / Yard Brushes,26259,06/02/2025 10:22
S00179,Feed Buckets / Feed Tubs,8698,09/01/2025 09:02
S00180,Water Troughs / Water Buckets,5548,09/01/2025 06:42
S00181,Water Troughs / Water Buckets,8513,11/01/2025 21:13
S00182,Muck Forks / Stable Forks,10704,08/02/2025 21:20
S00183,Rubber Matting (for stalls and walkways),9286,28/01/2025 15:47
S00184,Muck Forks / Stable Forks,3960,24/01/2025 20:06
S00185,Muck Forks / Stable Forks,14535,22/01/2025 10:20
S00186,Feed Buckets / Feed Tubs,17310,14/01/2025 11:58
S00187,Rubber Matting (for stalls and walkways),17229,03/02/2025 18:01
S00188,Stable Brooms / Yard Brushes,9213,13/01/2025 17:51
S00189,Feed Buckets / Feed Tubs,17661,05/02/2025 07:47
S00190,Shovels / Rakes,10059,29/01/2025 05:43
S00191,Muck Forks / Stable Forks,14535,22/01/2025 13:23
S00192,Manure Scoops,5890,10/01/2025 16:55
S00193,Feed Buckets / Feed Tubs,14798,07/02/2025 19:55
S00194,Feed Buckets / Feed Tubs,17316,16/01/2025 12:35
S00195,Hay Nets / Hay Bags,11560,11/01/2025 13:32
S00196,Storage Bins / Feed Storage,4470,10/01/2025 13:51
S00197,Shovels / Rakes,6351,11/01/2025 14:28
S00198,Hay Nets / Hay Bags,6797,14/01/2025 10:55
S00199,Water Troughs / Water Buckets,20315,13/01/2025 15:02
S00200,Muck Forks / Stable Forks,8033,14/01/2025 20:31
S00201,Manure Scoops,12354,16/01/2025 16:58
S00202,Muck Forks / Stable Forks,8033,14/01/2025 08:18
S00203,Water Troughs / Water Buckets,18931,18/01/2025 18:42
S00204,Storage Bins / Feed Storage,2682,08/01/2025 17:51
S00205,Water Troughs / Water Buckets,20315,13/01/2025 10:38
S00206,Rubber Matting (for stalls and walkways),10185,05/02/2025 11:01
S00207,Shovels / Rakes,20911,06/02/2025 11:40
S00208,Storage Bins / Feed Storage,3477,11/01/2025 09:08
S00209,Stable Brooms / Yard Brushes,9213,13/01/2025 09:39
S00210,Feed Buckets / Feed Tubs,17316,16/01/2025 13:37
S00211,Manure Scoops,7852,15/01/2025 12:05
S00212,Muck Forks / Stable Forks,14535,22/01/2025 13:13
S00213,Stable Brooms / Yard Brushes,15537,12/01/2025 17:58
S00214,Feed Buckets / Feed Tubs,11162,10/01/2025 21:29
S00215,Feed Buckets / Feed Tubs,30823,08/02/2025 13:51
S00216,Shovels / Rakes,4983,14/01/2025 15:25
S00217,Rubber Matting (for stalls and walkways),14329,04/02/2025 11:10
S00218,Manure Scoops,8275,14/01/2025 05:09
S00219,Stable Brooms / Yard Brushes,28023,03/02/2025 21:55
S00220,Hay Nets / Hay Bags,3629,08/01/2025 16:20
S00221,Stable Brooms / Yard Brushes,25046,28/01/2025 06:00
S00222,Water Troughs / Water Buckets,10115,17/01/2025 13:04
S00223,Muck Forks / Stable Forks,6285,18/01/2025 18:50
S00224,Rubber Matting (for stalls and walkways),8910,29/01/2025 17:54
S00225,Manure Scoops,16082,20/01/2025 08:32
S00226,Water Troughs / Water Buckets,8513,11/01/2025 08:05
S00227,Feed Buckets / Feed Tubs,10195,12/01/2025 14:03
S00228,Rubber Matting (for stalls and walkways),14283,08/02/2025 05:09
S00229,Water Troughs / Water Buckets,8513,11/01/2025 17:58
S00230,Shovels / Rakes,8166,16/01/2025 13:36
S00231,Feed Buckets / Feed Tubs,11162,10/01/2025 21:52
S00232,Shovels / Rakes,23541,05/02/2025 12:04
S00233,Rubber Matting (for stalls and walkways),16829,02/02/2025 08:21
S00234,Feed Buckets / Feed Tubs,17310,14/01/2025 19:59
S00235,Stable Brooms / Yard Brushes,15537,12/01/2025 12:05
S00236,Stable Brooms / Yard Brushes,15189,17/01/2025 05:05
S00237,Stable Brooms / Yard Brushes,19200,18/01/2025 10:50
S00238,Shovels / Rakes,4795,13/01/2025 14:46
S00239,Hay Nets / Hay Bags,9785,07/02/2025 20:29
S00240,Hay Nets / Hay Bags,2170,10/01/2025 17:59
S00241,Water Troughs / Water Buckets,19717,14/01/2025 15:59
S00242,Hay Nets / Hay Bags,6797,14/01/2025 07:31
S00243,Manure Scoops,8275,14/01/2025 18:53
S00244,Shovels / Rakes,18702,30/01/2025 20:06
S00245,Rubber Matting (for stalls and walkways),24365,06/02/2025 16:59
S00246,Muck Forks / Stable Forks,17623,04/02/2025 19:38
S00247,Muck Forks / Stable Forks,30798,03/02/2025 16:56
S00248,Water Troughs / Water Buckets,20315,13/01/2025 11:56
S00249,Stable Brooms / Yard Brushes,19200,18/01/2025 06:14
S00250,Rubber Matting (for stalls and walkways),17229,03/02/2025 19:29
S00251,Water Troughs / Water Buckets,16392,16/01/2025 07:24
S00252,Water Troughs / Water Buckets,11484,15/01/2025 21:42
S00253,Stable Brooms / Yard Brushes,19200,18/01/2025 06:03
S00254,Storage Bins / Feed Storage,7307,15/01/2025 11:51
S00255,Manure Scoops,12599,12/01/2025 05:07
S00256,Muck Forks / Stable Forks,22220,07/02/2025 08:58
S00257,Manure Scoops,7852,15/01/2025 16:46
S00258,Feed Buckets / Feed Tubs,17310,14/01/2025 11:09
S00259,Feed Buckets / Feed Tubs,23669,19/01/2025 12:34
S00260,Water Troughs / Water Buckets,16392,16/01/2025 16:40
S00261,Manure Scoops,12599,12/01/2025 15:34
S00262,Water Troughs / Water Buckets,16392,16/01/2025 13:06
S00263,Storage Bins / Feed Storage,26168,04/02/2025 09:53
S00264,Feed Buckets / Feed Tubs,17661,05/02/2025 14:12
S00265,Storage Bins / Feed Storage,2130,14/01/2025 10:10
S00266,Feed Buckets / Feed Tubs,14947,01/02/2025 16:21
S00267,Manure Scoops,8275,14/01/2025 20:18
S00268,Stable Brooms / Yard Brushes,1740,14/01/2025 06:07
S00269,Hay Nets / Hay Bags,5425,01/02/2025 11:43
S00270,Water Troughs / Water Buckets,16392,16/01/2025 06:47
S00271,Manure Scoops,20262,18/01/2025 12:46
S00272,Rubber Matting (for stalls and walkways),24265,09/02/2025 15:56
S00273,Storage Bins / Feed Storage,12299,06/02/2025 05:56
S00274,Feed Buckets / Feed Tubs,11162,10/01/2025 16:56
S00275,Stable Brooms / Yard Brushes,15189,17/01/2025 21:30
S00276,Feed Buckets / Feed Tubs,10560,11/01/2025 09:32
S00277,Muck Forks / Stable Forks,14094,15/01/2025 05:26
S00278,Muck Forks / Stable Forks,22220,07/02/2025 18:14
S00279,Stable Brooms / Yard Brushes,37510,08/02/2025 11:33
S00280,Feed Buckets / Feed Tubs,14798,07/02/2025 05:29
S00281,Water Troughs / Water Buckets,19717,14/01/2025 19:16
S00282,Muck Forks / Stable Forks,17876,31/01/2025 12:22
S00283,Shovels / Rakes,4978,09/02/2025 15:14
S00284,Hay Nets / Hay Bags,4303,13/01/2025 08:29
S00285,Hay Nets / Hay Bags,22210,28/01/2025 10:44
S00286,Rubber Matting (for stalls and walkways),14567,10/02/2025 11:00
S00287,Water Troughs / Water Buckets,16392,16/01/2025 13:09
S00288,Feed Buckets / Feed Tubs,8171,17/01/2025 05:13
S00289,Manure Scoops,12354,16/01/2025 05:43
S00290,Feed Buckets / Feed Tubs,6812,13/01/2025 17:31
S00291,Shovels / Rakes,4978,09/02/2025 08:41
S00292,Storage Bins / Feed Storage,19540,11/02/2025 17:22
S00293,Muck Forks / Stable Forks,1296,12/01/2025 14:29
S00294,Stable Brooms / Yard Brushes,4227,16/01/2025 07:34
S00295,Stable Brooms / Yard Brushes,10896,02/02/2025 14:25
S00296,Water Troughs / Water Buckets,11484,15/01/2025 07:57
S00297,Water Troughs / Water Buckets,5699,19/01/2025 05:24
S00298,Muck Forks / Stable Forks,22220,07/02/2025 19:04
S00299,Storage Bins / Feed Storage,7540,29/01/2025 07:12
S00300,Feed Buckets / Feed Tubs,17310,14/01/2025 08:54
S00301,Storage Bins / Feed Storage,4470,10/01/2025 10:06
S00302,Rubber Matting (for stalls and walkways),24365,06/02/2025 07:56
S00303,Storage Bins / Feed Storage,19228,02/02/2025 10:31
S00304,Shovels / Rakes,10992,20/01/2025 10:00
S00305,Feed Buckets / Feed Tubs,17310,14/01/2025 06:41
S00306,Stable Brooms / Yard Brushes,15189,17/01/2025 09:43
S00307,Rubber Matting (for stalls and walkways),6025,01/02/2025 17:37
S00308,Stable Brooms / Yard Brushes,25046,28/01/2025 18:19
S00309,Stable Brooms / Yard Brushes,25046,28/01/2025 20:57
S00310,Water Troughs / Water Buckets,20315,13/01/2025 14:38
S00311,Feed Buckets / Feed Tubs,14947,01/02/2025 08:31
S00312,Shovels / Rakes,6066,18/01/2025 07:32
S00313,Stable Brooms / Yard Brushes,20345,31/01/2025 08:44
S00314,Muck Forks / Stable Forks,5417,28/01/2025 11:02
S00315,Manure Scoops,16477,17/01/2025 19:05
S00316,Stable Brooms / Yard Brushes,28023,03/02/2025 21:18
S00317,Manure Scoops,20262,18/01/2025 11:14
S00318,Water Troughs / Water Buckets,1810,01/01/2025 05:42
S00319,Rubber Matting (for stalls and walkways),4207,31/01/2025 08:24
S00320,Shovels / Rakes,698,15/01/2025 14:32
S00321,Feed Buckets / Feed Tubs,23669,19/01/2025 18:17
S00322,Manure Scoops,10166,13/01/2025 12:36
S00323,Feed Buckets / Feed Tubs,10195,12/01/2025 11:15
S00324,Hay Nets / Hay Bags,2170,10/01/2025 06:11
S00325,Water Troughs / Water Buckets,13385,20/01/2025 08:41
S00326,Muck Forks / Stable Forks,17623,04/02/2025 21:21
S00327,Storage Bins / Feed Storage,3477,11/01/2025 18:49
S00328,Stable Brooms / Yard Brushes,16216,20/01/2025 15:39
S00329,Storage Bins / Feed Storage,12299,06/02/2025 05:18
S00330,Muck Forks / Stable Forks,30798,03/02/2025 14:30
S00331,Muck Forks / Stable Forks,29781,02/02/2025 19:26
S00332,Stable Brooms / Yard Brushes,16216,20/01/2025 10:02
S00333,Muck Forks / Stable Forks,8904,15/02/2025 13:26
S00334,Muck Forks / Stable Forks,17876,31/01/2025 06:46
S00335,Muck Forks / Stable Forks,12558,16/01/2025 11:16
S00336,Stable Brooms / Yard Brushes,20266,24/01/2025 05:41
S00337,Manure Scoops,15792,22/01/2025 19:14
S00338,Muck Forks / Stable Forks,19290,05/02/2025 05:58
S00339,Storage Bins / Feed Storage,13812,03/02/2025 13:10
S00340,Feed Buckets / Feed Tubs,30823,08/02/2025 13:58
S00341,Muck Forks / Stable Forks,14094,15/01/2025 06:03
S00342,Feed Buckets / Feed Tubs,8171,17/01/2025 18:12
S00343,Water Troughs / Water Buckets,10115,17/01/2025 14:32
S00344,Stable Brooms / Yard Brushes,14270,15/01/2025 07:01
S00345,Stable Brooms / Yard Brushes,1740,14/01/2025 05:04
S00346,Storage Bins / Feed Storage,9530,17/01/2025 06:48
S00347,Stable Brooms / Yard Brushes,4227,16/01/2025 07:47
S00348,Stable Brooms / Yard Brushes,19106,29/01/2025 19:33
S00349,Manure Scoops,16082,20/01/2025 05:42
S00350,Water Troughs / Water Buckets,19717,14/01/2025 05:53
S00351,Water Troughs / Water Buckets,10115,17/01/2025 14:38
S00352,Rubber Matting (for stalls and walkways),9286,28/01/2025 09:37
S00353,Rubber Matting (for stalls and walkways),24265,09/02/2025 10:46
S00354,Shovels / Rakes,15776,10/02/2025 14:49
S00355,Shovels / Rakes,6066,18/01/2025 17:03
S00356,Feed Buckets / Feed Tubs,9544,15/01/2025 14:10
S00357,Water Troughs / Water Buckets,9392,21/01/2025 10:23
S00358,Feed Buckets / Feed Tubs,37347,21/01/2025 19:30
S00359,Rubber Matting (for stalls and walkways),9286,28/01/2025 06:38
S00360,Manure Scoops,16477,17/01/2025 14:13
S00361,Muck Forks / Stable Forks,2319,13/01/2025 13:56
S00362,Storage Bins / Feed Storage,7936,28/01/2025 12:08
S00363,Manure Scoops,16477,17/01/2025 16:47
S00364,Storage Bins / Feed Storage,9530,17/01/2025 11:05
S00365,Muck Forks / Stable Forks,19290,05/02/2025 14:26
S00366,Shovels / Rakes,10992,20/01/2025 20:44
S00367,Hay Nets / Hay Bags,5601,08/02/2025 21:27
S00368,Feed Buckets / Feed Tubs,33588,04/02/2025 09:32
S00369,Stable Brooms / Yard Brushes,1267,02/01/2025 09:51
S00370,Hay Nets / Hay Bags,22210,28/01/2025 11:53
S00371,Manure Scoops,16673,21/01/2025 18:53
S00372,Water Troughs / Water Buckets,20315,13/01/2025 11:48
S00373,Stable Brooms / Yard Brushes,37510,08/02/2025 06:28
S00374,Hay Nets / Hay Bags,9058,27/01/2025 10:16
S00375,Rubber Matting (for stalls and walkways),6481,26/01/2025 09:55
S00376,Manure Scoops,15792,22/01/2025 13:41
S00377,Shovels / Rakes,23541,05/02/2025 13:28
S00378,Hay Nets / Hay Bags,11560,11/01/2025 12:42
S00379,Muck Forks / Stable Forks,10704,08/02/2025 06:59
S00380,Manure Scoops,16082,20/01/2025 12:40
S00381,Manure Scoops,16325,19/01/2025 17:04
S00382,Shovels / Rakes,7736,01/02/2025 13:23
S00383,Rubber Matting (for stalls and walkways),6481,26/01/2025 06:03
S00384,Water Troughs / Water Buckets,20315,13/01/2025 19:31
S00385,Rubber Matting (for stalls and walkways),24365,06/02/2025 16:09
S00386,Hay Nets / Hay Bags,16816,14/02/2025 18:06
S00387,Stable Brooms / Yard Brushes,14270,15/01/2025 12:53
S00388,Rubber Matting (for stalls and walkways),14329,04/02/2025 07:07
S00389,Rubber Matting (for stalls and walkways),8910,29/01/2025 14:42
S00390,Storage Bins / Feed Storage,3477,11/01/2025 17:34
S00391,Water Troughs / Water Buckets,10115,17/01/2025 19:58
S00392,Muck Forks / Stable Forks,19991,20/01/2025 17:10
S00393,Hay Nets / Hay Bags,6797,14/01/2025 09:55
S00394,Rubber Matting (for stalls and walkways),16829,02/02/2025 18:07
S00395,Hay Nets / Hay Bags,1116,17/01/2025 06:34
S00396,Storage Bins / Feed Storage,12615,19/01/2025 12:42
S00397,Storage Bins / Feed Storage,4995,13/01/2025 11:45
S00398,Muck Forks / Stable Forks,29781,02/02/2025 09:53
S00399,Feed Buckets / Feed Tubs,17316,16/01/2025 18:16
S00400,Shovels / Rakes,15776,10/02/2025 10:12
S00401,Hay Nets / Hay Bags,7932,18/01/2025 13:09
S00402,Feed Buckets / Feed Tubs,37347,21/01/2025 05:57
S00403,Feed Buckets / Feed Tubs,14947,01/02/2025 09:43
S00404,Feed Buckets / Feed Tubs,21839,28/01/2025 20:34
S00405,Stable Brooms / Yard Brushes,35063,10/02/2025 06:53
S00406,Feed Buckets / Feed Tubs,6812,13/01/2025 09:30
S00407,Shovels / Rakes,10132,31/01/2025 08:43
S00408,Hay Nets / Hay Bags,16816,14/02/2025 14:39
S00409,Storage Bins / Feed Storage,9530,17/01/2025 14:24
S00410,Rubber Matting (for stalls and walkways),10185,05/02/2025 19:10
S00411,Shovels / Rakes,5202,02/02/2025 17:02
S00412,Water Troughs / Water Buckets,18931,18/01/2025 10:44
S00413,Feed Buckets / Feed Tubs,17310,14/01/2025 09:45
S00414,Storage Bins / Feed Storage,7540,29/01/2025 20:52
S00415,Feed Buckets / Feed Tubs,9544,15/01/2025 08:25
S00416,Rubber Matting (for stalls and walkways),24265,09/02/2025 08:48
S00417,Manure Scoops,15792,22/01/2025 09:46
S00418,Rubber Matting (for stalls and walkways),21726,12/02/2025 13:28
S00419,Feed Buckets / Feed Tubs,17316,16/01/2025 08:18
S00420,Stable Brooms / Yard Brushes,14270,15/01/2025 10:56
S00421,Rubber Matting (for stalls and walkways),21726,12/02/2025 17:22
S00422,Storage Bins / Feed Storage,18190,26/01/2025 17:28
S00423,Shovels / Rakes,11522,27/01/2025 17:47
S00424,Shovels / Rakes,4795,13/01/2025 12:57
S00425,Stable Brooms / Yard Brushes,5676,19/01/2025 11:40
S00426,Storage Bins / Feed Storage,18190,26/01/2025 11:49
S00427,Rubber Matting (for stalls and walkways),14329,04/02/2025 12:23
S00428,Rubber Matting (for stalls and walkways),21726,12/02/2025 16:36
S00429,Manure Scoops,20262,18/01/2025 20:27
S00430,Stable Brooms / Yard Brushes,15189,17/01/2025 11:49
S00431,Feed Buckets / Feed Tubs,8171,17/01/2025 13:19
S00432,Muck Forks / Stable Forks,30798,03/02/2025 21:17
S00433,Manure Scoops,16325,19/01/2025 11:14
S00434,Stable Brooms / Yard Brushes,19200,18/01/2025 05:42
S00435,Water Troughs / Water Buckets,30146,22/01/2025 06:50
S00436,Manure Scoops,16835,24/01/2025 11:37
S00437,Rubber Matting (for stalls and walkways),6514,27/01/2025 16:02
S00438,Shovels / Rakes,7736,01/02/2025 14:46
S00439,Hay Nets / Hay Bags,4987,31/01/2025 14:21
