id,supplier_id,order_date,promised_date,delivery_date,time_to_deliver,status
S00065,BarnWare,02/01/2025,09/01/2025,09/01/2025,7,On-Time
S00066,EuroMat,02/01/2025,04/02/2025,04/02/2025,33,Mismatch
S00067,EuroMat,02/01/2025,22/01/2025,22/01/2025,20,On-Time
S00068,UKTools,02/01/2025,11/01/2025,11/01/2025,9,On-Time
S00069,UKTools,02/01/2025,10/01/2025,15/01/2025,13,Delayed/Partial
S00070,BarnWare,02/01/2025,10/01/2025,10/01/2025,8,On-Time
S00071,AgroSupply,02/01/2025,02/02/2025,03/02/2025,32,Delayed/Partial
S00072,EuroMat,02/01/2025,06/02/2025,06/02/2025,35,On-Time
S00073,BarnWare,02/01/2025,08/01/2025,08/01/2025,6,On-Time
S00074,BarnWare,02/01/2025,11/01/2025,11/01/2025,9,On-Time
S00075,AsiaPlast,02/01/2025,07/01/2025,08/01/2025,6,Delayed/Partial
S00076,BarnWare,02/01/2025,16/01/2025,16/01/2025,14,On-Time
S00077,EuroMat,02/01/2025,24/01/2025,24/01/2025,22,On-Time
S00078,EuroMat,02/01/2025,31/01/2025,31/01/2025,29,On-Time
S00079,AgroSupply,02/01/2025,01/02/2025,01/02/2025,30,On-Time
S00080,BarnWare,02/01/2025,12/01/2025,12/01/2025,10,On-Time
S00081,AgroSupply,02/01/2025,22/01/2025,22/01/2025,20,On-Time
S00082,UKTools,02/01/2025,11/01/2025,11/01/2025,9,On-Time
S00083,BarnWare,02/01/2025,08/01/2025,08/01/2025,6,On-Time
S00084,BarnWare,02/01/2025,11/01/2025,12/01/2025,10,Delayed/Partial
S00085,AgroSupply,02/01/2025,26/01/2025,26/01/2025,24,On-Time
S00086,UKTools,02/01/2025,13/01/2025,13/01/2025,11,On-Time
S00087,AgroSupply,02/01/2025,22/01/2025,21/01/2025,19,On-Time
S00088,AgroSupply,02/01/2025,29/01/2025,30/01/2025,28,Delayed/Partial
S00089,UKTools,02/01/2025,16/01/2025,16/01/2025,14,On-Time
S00090,UKTools,02/01/2025,14/01/2025,14/01/2025,12,On-Time
S00091,BarnWare,02/01/2025,15/01/2025,15/01/2025,13,On-Time
S00092,AgroSupply,02/01/2025,30/01/2025,30/01/2025,28,On-Time
S00093,AgroSupply,02/01/2025,25/01/2025,25/01/2025,23,On-Time
S00094,UKTools,02/01/2025,13/01/2025,14/01/2025,12,Delayed/Partial
S00095,BarnWare,02/01/2025,08/01/2025,08/01/2025,6,Mismatch
S00096,UKTools,02/01/2025,16/01/2025,16/01/2025,14,On-Time
S00097,AgroSupply,02/01/2025,23/01/2025,23/01/2025,21,On-Time
S00098,EuroMat,02/01/2025,21/01/2025,21/01/2025,19,On-Time
S00099,NULL,02/01/2025,11/01/2025,10/01/2025,8,On-Time
S00100,BarnWare,02/01/2025,09/01/2025,09/01/2025,7,Mismatch
S00101,AsiaPlast,02/01/2025,12/01/2025,14/01/2025,12,Delayed/Partial
S00102,UKTools,02/01/2025,11/01/2025,11/01/2025,9,On-Time
S00103,BarnWare,02/01/2025,11/01/2025,11/01/2025,9,On-Time
S00104,AgroSupply,02/01/2025,20/01/2025,20/01/2025,18,On-Time
S00105,AgroSupply,02/01/2025,22/01/2025,22/01/2025,20,On-Time
S00106,UKTools,02/01/2025,16/01/2025,16/01/2025,14,On-Time
S00107,EuroMat,02/01/2025,20/01/2025,20/01/2025,18,On-Time
S00108,AgroSupply,02/01/2025,03/02/2025,03/02/2025,32,On-Time
S00109,UKTools,02/01/2025,10/01/2025,10/01/2025,8,On-Time
S00110,EuroMat,02/01/2025,22/01/2025,22/01/2025,20,On-Time
S00111,EuroMat,02/01/2025,05/02/2025,05/02/2025,34,On-Time
S00112,AgroSupply,02/01/2025,03/02/2025,03/02/2025,32,On-Time
S00113,EuroMat,02/01/2025,21/01/2025,21/01/2025,19,On-Time
S00114,EuroMat,03/01/2025,02/02/2025,02/02/2025,30,On-Time
S00115,EuroMat,03/01/2025,23/01/2025,NULL,NULL,NULL
S00116,BarnWare,03/01/2025,14/01/2025,14/01/2025,11,On-Time
S00117,BarnWare,03/01/2025,13/01/2025,13/01/2025,10,On-Time
S00118,EuroMat,03/01/2025,21/01/2025,22/01/2025,19,Delayed/Partial
S00119,BarnWare,03/01/2025,11/01/2025,11/01/2025,8,On-Time
S00120,UKTools,03/01/2025,10/01/2025,11/01/2025,8,Delayed/Partial
S00121,EuroMat,03/01/2025,04/02/2025,04/02/2025,32,Mismatch
S00122,UKTools,03/01/2025,12/01/2025,12/01/2025,9,On-Time
S00123,BarnWare,03/01/2025,15/01/2025,15/01/2025,12,On-Time
S00124,UKTools,03/01/2025,12/01/2025,12/01/2025,9,On-Time
S00125,AgroSupply,03/01/2025,21/01/2025,21/01/2025,18,Mismatch
S00126,AgroSupply,03/01/2025,30/01/2025,30/01/2025,27,On-Time
S00127,EuroMat,03/01/2025,23/01/2025,23/01/2025,20,On-Time
S00128,UKTools,03/01/2025,16/01/2025,16/01/2025,13,On-Time
S00129,EuroMat,03/01/2025,07/02/2025,07/02/2025,35,On-Time
S00130,EuroMat,03/01/2025,04/02/2025,04/02/2025,32,On-Time
S00131,BarnWare,03/01/2025,15/01/2025,15/01/2025,12,On-Time
S00132,AgroSupply,03/01/2025,27/01/2025,27/01/2025,24,On-Time
S00133,AgroSupply,03/01/2025,07/02/2025,07/02/2025,35,On-Time
S00134,AsiaPlast,03/01/2025,11/01/2025,12/01/2025,9,Delayed/Partial
S00135,UKTools,03/01/2025,17/01/2025,16/01/2025,13,On-Time
S00136,BarnWare,03/01/2025,13/01/2025,13/01/2025,10,On-Time
S00137,EuroMat,03/01/2025,24/01/2025,24/01/2025,21,On-Time
S00138,AsiaPlast,03/01/2025,10/01/2025,11/01/2025,8,Delayed/Partial
S00139,AsiaPlast,03/01/2025,10/01/2025,10/01/2025,7,On-Time
S00140,EuroMat,03/01/2025,21/01/2025,21/01/2025,18,On-Time
S00141,AsiaPlast,03/01/2025,07/01/2025,07/01/2025,4,On-Time
S00142,AsiaPlast,03/01/2025,12/01/2025,12/01/2025,9,On-Time
S00143,BarnWare,03/01/2025,17/01/2025,18/01/2025,15,Delayed/Partial
S00144,EuroMat,03/01/2025,21/01/2025,21/01/2025,18,On-Time
S00145,EuroMat,03/01/2025,29/01/2025,29/01/2025,26,On-Time
S00146,AsiaPlast,03/01/2025,13/01/2025,13/01/2025,10,On-Time
S00147,EuroMat,03/01/2025,23/01/2025,23/01/2025,20,On-Time
S00148,BarnWare,03/01/2025,11/01/2025,11/01/2025,8,On-Time
S00149,AgroSupply,03/01/2025,24/01/2025,25/01/2025,22,Delayed/Partial
S00150,AgroSupply,03/01/2025,23/01/2025,23/01/2025,20,On-Time
S00151,EuroMat,03/01/2025,22/01/2025,22/01/2025,19,On-Time
S00152,AsiaPlast,03/01/2025,13/01/2025,14/01/2025,11,Delayed/Partial
S00153,EuroMat,03/01/2025,22/01/2025,22/01/2025,19,On-Time
S00154,AsiaPlast,03/01/2025,08/01/2025,09/01/2025,6,Delayed/Partial
S00155,AsiaPlast,03/01/2025,07/01/2025,07/01/2025,4,On-Time
S00156,EuroMat,03/01/2025,02/02/2025,02/02/2025,30,On-Time
S00157,EuroMat,03/01/2025,27/01/2025,29/01/2025,26,Delayed/Partial
S00158,BarnWare,03/01/2025,14/01/2025,14/01/2025,11,On-Time
S00159,AsiaPlast,03/01/2025,10/01/2025,10/01/2025,7,On-Time
S00160,BarnWare,03/01/2025,16/01/2025,18/01/2025,15,Delayed/Partial
S00161,BarnWare,03/01/2025,10/01/2025,10/01/2025,7,On-Time
S00162,UKTools,03/01/2025,10/01/2025,10/01/2025,7,On-Time
S00163,EuroMat,04/01/2025,03/02/2025,03/02/2025,30,On-Time
S00164,AsiaPlast,04/01/2025,08/01/2025,NULL,NULL,NULL
S00165,BarnWare,04/01/2025,15/01/2025,15/01/2025,11,On-Time
S00166,UKTools,04/01/2025,11/01/2025,11/01/2025,7,On-Time
S00167,AsiaPlast,04/01/2025,12/01/2025,12/01/2025,8,On-Time
S00168,BarnWare,04/01/2025,15/01/2025,15/01/2025,11,On-Time
S00169,AgroSupply,04/01/2025,04/02/2025,05/02/2025,32,Delayed/Partial
S00170,UKTools,04/01/2025,18/01/2025,19/01/2025,15,Delayed/Partial
S00171,AsiaPlast,04/01/2025,11/01/2025,11/01/2025,7,On-Time
S00172,BarnWare,04/01/2025,16/01/2025,16/01/2025,12,On-Time
S00173,BarnWare,04/01/2025,11/01/2025,11/01/2025,7,On-Time
S00174,EuroMat,04/01/2025,22/01/2025,23/01/2025,19,Delayed/Partial
S00175,AsiaPlast,04/01/2025,11/01/2025,11/01/2025,7,On-Time
S00176,UKTools,04/01/2025,10/01/2025,10/01/2025,6,On-Time
S00177,AsiaPlast,04/01/2025,13/01/2025,13/01/2025,9,On-Time
S00178,EuroMat,04/01/2025,06/02/2025,06/02/2025,33,On-Time
S00179,AsiaPlast,04/01/2025,09/01/2025,09/01/2025,5,On-Time
S00180,AsiaPlast,04/01/2025,09/01/2025,09/01/2025,5,On-Time
S00181,AsiaPlast,04/01/2025,11/01/2025,11/01/2025,7,On-Time
S00182,AgroSupply,04/01/2025,08/02/2025,08/02/2025,35,On-Time
S00183,AgroSupply,04/01/2025,28/01/2025,28/01/2025,24,On-Time
S00184,AgroSupply,04/01/2025,24/01/2025,24/01/2025,20,On-Time
S00185,AgroSupply,04/01/2025,22/01/2025,22/01/2025,18,On-Time
S00186,BarnWare,04/01/2025,14/01/2025,14/01/2025,10,On-Time
S00187,AgroSupply,04/01/2025,03/02/2025,03/02/2025,30,Mismatch
S00188,UKTools,04/01/2025,13/01/2025,13/01/2025,9,On-Time
S00189,EuroMat,04/01/2025,05/02/2025,05/02/2025,32,On-Time
S00190,AgroSupply,04/01/2025,29/01/2025,29/01/2025,25,On-Time
S00191,AgroSupply,04/01/2025,22/01/2025,22/01/2025,18,On-Time
S00192,UKTools,04/01/2025,10/01/2025,10/01/2025,6,On-Time
S00193,EuroMat,04/01/2025,07/02/2025,07/02/2025,34,On-Time
S00194,BarnWare,04/01/2025,16/01/2025,16/01/2025,12,On-Time
S00195,AsiaPlast,04/01/2025,11/01/2025,11/01/2025,7,On-Time
S00196,AsiaPlast,04/01/2025,10/01/2025,10/01/2025,6,On-Time
S00197,UKTools,04/01/2025,11/01/2025,11/01/2025,7,Mismatch
S00198,AsiaPlast,04/01/2025,14/01/2025,14/01/2025,10,On-Time
S00199,BarnWare,04/01/2025,13/01/2025,13/01/2025,9,On-Time
S00200,UKTools,04/01/2025,14/01/2025,14/01/2025,10,On-Time
S00201,BarnWare,04/01/2025,16/01/2025,16/01/2025,12,On-Time
S00202,UKTools,04/01/2025,14/01/2025,14/01/2025,10,On-Time
S00203,BarnWare,04/01/2025,18/01/2025,18/01/2025,14,On-Time
S00204,AsiaPlast,04/01/2025,09/01/2025,08/01/2025,4,On-Time
S00205,BarnWare,04/01/2025,13/01/2025,13/01/2025,9,On-Time
S00206,EuroMat,04/01/2025,04/02/2025,05/02/2025,32,Delayed/Partial
S00207,AgroSupply,04/01/2025,06/02/2025,06/02/2025,33,On-Time
S00208,AsiaPlast,04/01/2025,10/01/2025,11/01/2025,7,Delayed/Partial
S00209,UKTools,04/01/2025,12/01/2025,13/01/2025,9,Delayed/Partial
S00210,BarnWare,04/01/2025,16/01/2025,16/01/2025,12,On-Time
S00211,UKTools,04/01/2025,15/01/2025,15/01/2025,11,On-Time
S00212,AgroSupply,04/01/2025,22/01/2025,22/01/2025,18,On-Time
S00213,BarnWare,04/01/2025,12/01/2025,12/01/2025,8,On-Time
S00214,BarnWare,04/01/2025,10/01/2025,10/01/2025,6,On-Time
S00215,EuroMat,04/01/2025,08/02/2025,08/02/2025,35,On-Time
S00216,UKTools,05/01/2025,13/01/2025,14/01/2025,9,Delayed/Partial
S00217,EuroMat,05/01/2025,04/02/2025,04/02/2025,30,On-Time
S00218,UKTools,05/01/2025,17/01/2025,14/01/2025,9,On-Time
S00219,EuroMat,05/01/2025,03/02/2025,03/02/2025,29,On-Time
S00220,AsiaPlast,05/01/2025,09/01/2025,08/01/2025,3,On-Time
S00221,EuroMat,05/01/2025,28/01/2025,28/01/2025,23,On-Time
S00222,BarnWare,05/01/2025,17/01/2025,17/01/2025,12,On-Time
S00223,UKTools,05/01/2025,18/01/2025,18/01/2025,13,Mismatch
S00224,AgroSupply,05/01/2025,28/01/2025,29/01/2025,24,Delayed/Partial
S00225,UKTools,05/01/2025,17/01/2025,20/01/2025,15,Delayed/Partial
S00226,AsiaPlast,05/01/2025,11/01/2025,11/01/2025,6,On-Time
S00227,BarnWare,05/01/2025,12/01/2025,12/01/2025,7,On-Time
S00228,AgroSupply,05/01/2025,08/02/2025,08/02/2025,34,On-Time
S00229,AsiaPlast,05/01/2025,11/01/2025,11/01/2025,6,On-Time
S00230,UKTools,05/01/2025,16/01/2025,16/01/2025,11,On-Time
S00231,AsiaPlast,05/01/2025,10/01/2025,10/01/2025,5,On-Time
S00232,AgroSupply,05/01/2025,05/02/2025,05/02/2025,31,On-Time
S00233,EuroMat,05/01/2025,01/02/2025,02/02/2025,28,Delayed/Partial
S00234,AsiaPlast,05/01/2025,14/01/2025,14/01/2025,9,On-Time
S00235,UKTools,05/01/2025,11/01/2025,12/01/2025,7,Delayed/Partial
S00236,UKTools,05/01/2025,17/01/2025,17/01/2025,12,On-Time
S00237,UKTools,05/01/2025,18/01/2025,18/01/2025,13,On-Time
S00238,UKTools,05/01/2025,12/01/2025,13/01/2025,8,Delayed/Partial
S00239,AgroSupply,05/01/2025,06/02/2025,07/02/2025,33,Delayed/Partial
S00240,AsiaPlast,05/01/2025,09/01/2025,10/01/2025,5,Delayed/Partial
S00241,BarnWare,05/01/2025,14/01/2025,14/01/2025,9,On-Time
S00242,AsiaPlast,05/01/2025,14/01/2025,14/01/2025,9,On-Time
S00243,UKTools,05/01/2025,14/01/2025,14/01/2025,9,On-Time
S00244,AgroSupply,05/01/2025,30/01/2025,30/01/2025,25,Mismatch
S00245,EuroMat,05/01/2025,06/02/2025,06/02/2025,32,On-Time
S00246,AgroSupply,05/01/2025,04/02/2025,04/02/2025,30,On-Time
S00247,AgroSupply,05/01/2025,03/02/2025,03/02/2025,29,On-Time
S00248,AsiaPlast,05/01/2025,13/01/2025,13/01/2025,8,On-Time
S00249,UKTools,05/01/2025,18/01/2025,18/01/2025,13,On-Time
S00250,EuroMat,05/01/2025,03/02/2025,03/02/2025,29,On-Time
S00251,BarnWare,05/01/2025,16/01/2025,16/01/2025,11,On-Time
S00252,AsiaPlast,05/01/2025,15/01/2025,15/01/2025,10,On-Time
S00253,UKTools,05/01/2025,15/01/2025,18/01/2025,13,Delayed/Partial
S00254,AsiaPlast,05/01/2025,15/01/2025,15/01/2025,10,On-Time
S00255,BarnWare,05/01/2025,12/01/2025,12/01/2025,7,On-Time
S00256,AgroSupply,05/01/2025,07/02/2025,07/02/2025,33,On-Time
S00257,BarnWare,05/01/2025,15/01/2025,15/01/2025,10,On-Time
S00258,BarnWare,05/01/2025,14/01/2025,14/01/2025,9,On-Time
S00259,BarnWare,05/01/2025,19/01/2025,19/01/2025,14,On-Time
S00260,AsiaPlast,05/01/2025,15/01/2025,16/01/2025,11,Delayed/Partial
S00261,BarnWare,05/01/2025,12/01/2025,12/01/2025,7,On-Time
S00262,BarnWare,05/01/2025,16/01/2025,16/01/2025,11,On-Time
S00263,NULL,05/01/2025,04/02/2025,04/02/2025,30,On-Time
S00264,EuroMat,05/01/2025,05/02/2025,05/02/2025,31,On-Time
S00265,AsiaPlast,05/01/2025,14/01/2025,14/01/2025,9,On-Time
S00266,EuroMat,05/01/2025,01/02/2025,01/02/2025,27,On-Time
S00267,BarnWare,05/01/2025,14/01/2025,14/01/2025,9,On-Time
S00268,UKTools,05/01/2025,14/01/2025,14/01/2025,9,On-Time
S00269,AgroSupply,05/01/2025,01/02/2025,01/02/2025,27,On-Time
S00270,AsiaPlast,05/01/2025,11/01/2025,16/01/2025,11,Delayed/Partial
S00271,BarnWare,05/01/2025,18/01/2025,18/01/2025,13,On-Time
S00272,AgroSupply,05/01/2025,09/02/2025,09/02/2025,35,On-Time
S00273,EuroMat,05/01/2025,06/02/2025,06/02/2025,32,On-Time
S00274,AsiaPlast,05/01/2025,10/01/2025,10/01/2025,5,On-Time
S00275,BarnWare,05/01/2025,16/01/2025,17/01/2025,12,Delayed/Partial
S00276,AsiaPlast,05/01/2025,11/01/2025,11/01/2025,6,On-Time
S00277,UKTools,05/01/2025,16/01/2025,15/01/2025,10,On-Time
S00278,AgroSupply,05/01/2025,06/02/2025,07/02/2025,33,Delayed/Partial
S00279,EuroMat,06/01/2025,08/02/2025,08/02/2025,33,On-Time
S00280,EuroMat,06/01/2025,07/02/2025,07/02/2025,32,On-Time
S00281,AsiaPlast,06/01/2025,13/01/2025,14/01/2025,8,Delayed/Partial
S00282,AgroSupply,06/01/2025,31/01/2025,31/01/2025,25,On-Time
S00283,AgroSupply,06/01/2025,09/02/2025,09/02/2025,34,On-Time
S00284,AsiaPlast,06/01/2025,12/01/2025,13/01/2025,7,Delayed/Partial
S00285,AgroSupply,06/01/2025,28/01/2025,28/01/2025,22,On-Time
S00286,EuroMat,06/01/2025,10/02/2025,10/02/2025,35,On-Time
S00287,BarnWare,06/01/2025,16/01/2025,16/01/2025,10,On-Time
S00288,AsiaPlast,06/01/2025,16/01/2025,17/01/2025,11,Delayed/Partial
S00289,BarnWare,06/01/2025,15/01/2025,16/01/2025,10,Delayed/Partial
S00290,AsiaPlast,06/01/2025,12/01/2025,13/01/2025,7,Delayed/Partial
S00291,AgroSupply,06/01/2025,09/02/2025,09/02/2025,34,On-Time
S00292,EuroMat,06/01/2025,10/02/2025,11/02/2025,36,Delayed/Partial
S00293,UKTools,06/01/2025,12/01/2025,12/01/2025,6,On-Time
S00294,UKTools,06/01/2025,16/01/2025,16/01/2025,10,On-Time
S00295,EuroMat,06/01/2025,31/01/2025,02/02/2025,27,Delayed/Partial
S00296,BarnWare,06/01/2025,15/01/2025,15/01/2025,9,On-Time
S00297,BarnWare,06/01/2025,19/01/2025,19/01/2025,13,On-Time
S00298,AgroSupply,06/01/2025,07/02/2025,07/02/2025,32,On-Time
S00299,EuroMat,06/01/2025,29/01/2025,29/01/2025,23,On-Time
S00300,BarnWare,06/01/2025,14/01/2025,14/01/2025,8,On-Time
S00301,AsiaPlast,06/01/2025,10/01/2025,10/01/2025,4,On-Time
S00302,EuroMat,06/01/2025,06/02/2025,06/02/2025,31,On-Time
S00303,EuroMat,06/01/2025,02/02/2025,02/02/2025,27,On-Time
S00304,UKTools,06/01/2025,19/01/2025,20/01/2025,14,Delayed/Partial
S00305,AsiaPlast,06/01/2025,14/01/2025,14/01/2025,8,On-Time
S00306,BarnWare,06/01/2025,17/01/2025,17/01/2025,11,On-Time
S00307,AgroSupply,06/01/2025,01/02/2025,01/02/2025,26,Mismatch
S00308,EuroMat,06/01/2025,29/01/2025,28/01/2025,22,On-Time
S00309,EuroMat,06/01/2025,28/01/2025,28/01/2025,22,On-Time
S00310,AsiaPlast,06/01/2025,11/01/2025,13/01/2025,7,Delayed/Partial
S00311,EuroMat,06/01/2025,01/02/2025,01/02/2025,26,On-Time
S00312,UKTools,06/01/2025,18/01/2025,18/01/2025,12,On-Time
S00313,EuroMat,06/01/2025,31/01/2025,31/01/2025,25,On-Time
S00314,AgroSupply,06/01/2025,28/01/2025,28/01/2025,22,On-Time
S00315,UKTools,06/01/2025,17/01/2025,17/01/2025,11,On-Time
S00316,EuroMat,06/01/2025,03/02/2025,03/02/2025,28,On-Time
S00317,UKTools,06/01/2025,15/01/2025,18/01/2025,12,Delayed/Partial
S00318,BarnWare,06/01/2025,15/01/2025,01/01/2025,-5,On-Time
S00319,AgroSupply,06/01/2025,31/01/2025,31/01/2025,25,On-Time
S00320,UKTools,06/01/2025,15/01/2025,15/01/2025,9,On-Time
S00321,BarnWare,06/01/2025,19/01/2025,19/01/2025,13,On-Time
S00322,UKTools,06/01/2025,13/01/2025,13/01/2025,7,On-Time
S00323,BarnWare,06/01/2025,12/01/2025,12/01/2025,6,On-Time
S00324,AsiaPlast,06/01/2025,10/01/2025,10/01/2025,4,On-Time
S00325,BarnWare,06/01/2025,20/01/2025,20/01/2025,14,On-Time
S00326,AgroSupply,06/01/2025,04/02/2025,04/02/2025,29,On-Time
S00327,AsiaPlast,06/01/2025,11/01/2025,11/01/2025,5,On-Time
S00328,UKTools,06/01/2025,20/01/2025,20/01/2025,14,On-Time
S00329,EuroMat,06/01/2025,03/02/2025,06/02/2025,31,Delayed/Partial
S00330,AgroSupply,06/01/2025,01/02/2025,03/02/2025,28,Delayed/Partial
S00331,AgroSupply,06/01/2025,01/02/2025,02/02/2025,27,Delayed/Partial
S00332,BarnWare,06/01/2025,20/01/2025,20/01/2025,14,On-Time
S00333,AgroSupply,06/01/2025,10/02/2025,15/02/2025,40,Delayed/Partial
S00334,AgroSupply,06/01/2025,31/01/2025,31/01/2025,25,On-Time
S00335,UKTools,06/01/2025,17/01/2025,16/01/2025,10,On-Time
S00336,EuroMat,06/01/2025,24/01/2025,24/01/2025,18,On-Time
S00337,UKTools,07/01/2025,21/01/2025,22/01/2025,15,Delayed/Partial
S00338,AgroSupply,07/01/2025,08/02/2025,05/02/2025,29,On-Time
S00339,EuroMat,07/01/2025,03/02/2025,03/02/2025,27,On-Time
S00340,EuroMat,07/01/2025,07/02/2025,08/02/2025,32,Delayed/Partial
S00341,UKTools,07/01/2025,15/01/2025,15/01/2025,8,On-Time
S00342,BarnWare,07/01/2025,17/01/2025,17/01/2025,10,On-Time
S00343,BarnWare,07/01/2025,17/01/2025,17/01/2025,10,On-Time
S00344,BarnWare,07/01/2025,14/01/2025,15/01/2025,8,Delayed/Partial
S00345,BarnWare,07/01/2025,14/01/2025,14/01/2025,7,Mismatch
S00346,AsiaPlast,07/01/2025,17/01/2025,17/01/2025,10,On-Time
S00347,UKTools,07/01/2025,16/01/2025,16/01/2025,9,On-Time
S00348,EuroMat,07/01/2025,29/01/2025,29/01/2025,22,On-Time
S00349,BarnWare,07/01/2025,19/01/2025,20/01/2025,13,Delayed/Partial
S00350,AsiaPlast,07/01/2025,14/01/2025,14/01/2025,7,On-Time
S00351,AsiaPlast,07/01/2025,16/01/2025,17/01/2025,10,Delayed/Partial
S00352,EuroMat,07/01/2025,28/01/2025,28/01/2025,21,On-Time
S00353,EuroMat,07/01/2025,09/02/2025,09/02/2025,33,On-Time
S00354,AgroSupply,07/01/2025,10/02/2025,10/02/2025,34,On-Time
S00355,UKTools,07/01/2025,17/01/2025,18/01/2025,11,Delayed/Partial
S00356,AsiaPlast,07/01/2025,15/01/2025,15/01/2025,8,On-Time
