shipment_id,product_id,units_ordered,units_received,unit_cost_GBP,freight_cost_GBP
S00041,Stable Brooms / Yard Brushes,4562,4562,23.18,1888.69
S00042,Feed Buckets / Feed Tubs,3933,3933,10.86,401.67
S00043,Muck Forks / Stable Forks,1479,1479,19.04,1348.79
S00044,Hay Nets / Hay Bags,2450,2450,26.61,621.24
S00045,Water Troughs / Water Buckets,4984,4984,8.86,1533.48
S00046,Manure Scoops,4962,4962,22.14,1697.81
S00047,Feed Buckets / Feed Tubs,4795,4795,25.81,1811.58
S00048,Manure Scoops,4336,4336,1.01,1789
S00049,Feed Buckets / Feed Tubs,1096,1096,5.26,1323.85
S00050,Rubber Matting (for stalls and walkways),2444,2185,14.3,1219.96
S00051,Feed Buckets / Feed Tubs,365,365,27.82,793.06
S00052,Feed Buckets / Feed Tubs,2564,2564,NULL,2340.99
S00053,Hay Nets / Hay Bags,2910,2910,17.27,1575.24
S00054,Stable Brooms / Yard Brushes,3835,3835,11.42,651.91
S00055,Rubber Matting (for stalls and walkways),2534,2534,23.42,1777.25
S00056,Shovels / Rakes,2915,2915,29.14,1112.71
S00057,Water Troughs / Water Buckets,1611,1611,1.37,1235.56
S00058,Storage Bins / Feed Storage,1374,1374,17.09,1794.06
S00059,Manure Scoops,4542,4542,28.17,1546.52
S00060,Storage Bins / Feed Storage,3318,2952,24.98,1948.05
S00061,Shovels / Rakes,3245,3245,27.96,253.89
S00062,Manure Scoops,312,312,33.82,311.61
S00063,Feed Buckets / Feed Tubs,1310,1310,17.54,186.23
S00064,Muck Forks / Stable Forks,4218,4218,10.94,66.52
S00065,Feed Buckets / Feed Tubs,3416,3416,3.26,1016.24
S00066,Storage Bins / Feed Storage,2724,2613,31.25,1471.78
S00067,Feed Buckets / Feed Tubs,1645,1645,31.14,1064.99
S00068,Shovels / Rakes,399,399,14.43,801.49
S00069,Manure Scoops,1208,1208,24.18,2237.38
S00070,Manure Scoops,4852,4852,24.97,769.35
S00071,Hay Nets / Hay Bags,4866,4866,5.79,274.86
S00072,Storage Bins / Feed Storage,1345,1345,17.19,916.36
S00073,Water Troughs / Water Buckets,3917,3917,32.1,370.46
S00074,Stable Brooms / Yard Brushes,2481,2481,32.66,822.11
S00075,Water Troughs / Water Buckets,4092,4092,19.93,1297.38
S00076,Water Troughs / Water Buckets,309,309,14.01,106.23
S00077,Feed Buckets / Feed Tubs,4719,4719,29.76,1711.93
S00078,Stable Brooms / Yard Brushes,3877,3877,29.97,1940.4
S00079,Shovels / Rakes,2462,2462,5.07,1276.15
S00080,Water Troughs / Water Buckets,3640,3640,28.46,1834.8
S00081,Shovels / Rakes,1107,1107,28.56,1077.3
S00082,Manure Scoops,202,202,24.22,238.11
S00083,Manure Scoops,1068,1068,6.04,1636.7
S00084,Water Troughs / Water Buckets,4259,3841,31.9,294.13
S00085,Hay Nets / Hay Bags,2594,2594,4.28,2029.73
S00086,Manure Scoops,1535,1535,19.06,1845.18
S00087,Muck Forks / Stable Forks,991,991,17.23,1969.6
S00088,Shovels / Rakes,719,719,18.47,1363.27
S00089,Manure Scoops,2256,2256,9.36,548.56
S00090,Manure Scoops,3538,3538,23.1,1618.24
S00091,Feed Buckets / Feed Tubs,257,257,26.25,1139.32
S00092,Rubber Matting (for stalls and walkways),1308,1308,4.8,1111.48
S00093,Hay Nets / Hay Bags,1242,1242,11.36,1946.23
S00094,Shovels / Rakes,635,635,31.18,1419.21
S00095,Stable Brooms / Yard Brushes,2331,2289,5.57,544.34
S00096,Manure Scoops,2357,2357,25.21,1779.68
S00097,Hay Nets / Hay Bags,962,962,1.69,2174.81
S00098,Stable Brooms / Yard Brushes,4967,4967,34.31,1722.22
S00099,Water Troughs / Water Buckets,4117,4117,25.79,650.67
S00100,Feed Buckets / Feed Tubs,4973,4825,11.1,46.61
S00101,Water Troughs / Water Buckets,4606,4196,20.2,883.31
S00102,Muck Forks / Stable Forks,3073,3073,5.99,1538.27
S00103,Water Troughs / Water Buckets,112,112,1.24,1657.22
S00104,Muck Forks / Stable Forks,2921,2921,13.94,1788.02
S00105,Muck Forks / Stable Forks,4622,4622,28.41,1614.68
S00106,Shovels / Rakes,4632,4632,3.13,238.27
S00107,Feed Buckets / Feed Tubs,4619,4619,4.8,368.54
S00108,Rubber Matting (for stalls and walkways),1406,1406,11.74,1356.74
S00109,Shovels / Rakes,263,263,5.43,1629.45
S00110,Storage Bins / Feed Storage,541,541,6.98,187.15
S00111,Storage Bins / Feed Storage,1005,1005,6.2,895.9
S00112,Rubber Matting (for stalls and walkways),4277,4277,16.37,43.85
S00113,Feed Buckets / Feed Tubs,1960,1960,9.66,1262.07
S00114,Stable Brooms / Yard Brushes,4316,4316,30.18,172.1
S00115,Rubber Matting (for stalls and walkways),4347,4347,15.96,911.4
S00116,Feed Buckets / Feed Tubs,3462,3462,1.18,747.39
S00117,Manure Scoops,3154,3154,16.41,2416.37
S00118,Storage Bins / Feed Storage,3588,3588,1.37,1949.62
S00119,Stable Brooms / Yard Brushes,4127,4127,5.93,520.28
S00120,Muck Forks / Stable Forks,941,941,19.53,2174.52
S00121,Storage Bins / Feed Storage,4366,3935,16.95,1702.47
S00122,Shovels / Rakes,1922,1922,32.62,1775.99
S00123,Water Troughs / Water Buckets,1504,1504,17.52,499.2
S00124,Stable Brooms / Yard Brushes,4000,4000,11.03,1841
S00125,Shovels / Rakes,1310,1199,3.83,2047.89
S00126,Shovels / Rakes,3300,3300,14,1355.26
S00127,Feed Buckets / Feed Tubs,1399,1399,26.09,213.29
S00128,Muck Forks / Stable Forks,3761,3761,15.86,672.76
S00129,Storage Bins / Feed Storage,2427,2427,18.84,1978.32
S00130,Storage Bins / Feed Storage,4060,4060,1.91,1238.19
S00131,Feed Buckets / Feed Tubs,1993,1993,11.85,57.42
S00132,Shovels / Rakes,1884,1884,1.47,257.95
S00133,Muck Forks / Stable Forks,2934,2934,NULL,819.27
S00134,Hay Nets / Hay Bags,1353,1353,12.03,1981.76
S00135,Muck Forks / Stable Forks,622,622,13.74,594.62
S00136,Water Troughs / Water Buckets,3107,3107,13.37,1719.31
S00137,Rubber Matting (for stalls and walkways),2895,2895,28.14,468.74
S00138,Feed Buckets / Feed Tubs,4167,4167,28.91,2379.61
S00139,Water Troughs / Water Buckets,4294,4294,7.14,474.98
S00140,Feed Buckets / Feed Tubs,3887,3887,32.33,1691.92
S00141,Water Troughs / Water Buckets,4568,4568,31.95,1218.3
S00142,Storage Bins / Feed Storage,3868,3868,13.34,1320.15
S00143,Feed Buckets / Feed Tubs,1348,1348,1.77,1173.36
S00144,Rubber Matting (for stalls and walkways),260,260,9.67,2034.37
S00145,Feed Buckets / Feed Tubs,4565,4565,30.35,249.51
S00146,Water Troughs / Water Buckets,2955,2955,14.73,2447.31
S00147,Stable Brooms / Yard Brushes,4314,4314,18.21,2439.05
S00148,Water Troughs / Water Buckets,2212,2212,32.74,1786.33
S00149,Muck Forks / Stable Forks,2658,2658,23.16,1619.97
S00150,Muck Forks / Stable Forks,1597,1597,12.02,1970.49
S00151,Stable Brooms / Yard Brushes,667,667,7.45,1510.35
S00152,Water Troughs / Water Buckets,3764,3764,25.94,818.26
S00153,Storage Bins / Feed Storage,3900,3900,33.57,1984.92
S00154,Water Troughs / Water Buckets,3147,3147,29.95,477.41
S00155,Water Troughs / Water Buckets,182,182,0.93,1434.31
S00156,Storage Bins / Feed Storage,3176,3176,33.12,258.37
S00157,Stable Brooms / Yard Brushes,3177,3177,18.51,2197.31
S00158,Feed Buckets / Feed Tubs,3936,3936,3.97,280.01
S00159,Water Troughs / Water Buckets,2738,2738,1.03,290.2
S00160,Manure Scoops,3255,3255,22.32,2268.79
S00161,Water Troughs / Water Buckets,2508,2508,5.87,1202.89
S00162,Manure Scoops,853,853,25.37,1715.59
S00163,Rubber Matting (for stalls and walkways),2070,2070,28.1,1144.65
S00164,Storage Bins / Feed Storage,4477,4477,4.27,92.63
S00165,Feed Buckets / Feed Tubs,4601,4601,23.92,511.87
S00166,Shovels / Rakes,4078,4078,13.17,1353.65
S00167,Feed Buckets / Feed Tubs,4570,4570,2.46,370.19
S00168,Feed Buckets / Feed Tubs,2461,NULL,21.96,1417.86
S00169,Rubber Matting (for stalls and walkways),1387,1387,7.91,2433.07
S00170,Stable Brooms / Yard Brushes,2347,2347,12.85,2474.72
S00171,Storage Bins / Feed Storage,90,90,15.55,1130.85
S00172,Manure Scoops,1671,1671,28.83,2085.13
S00173,Feed Buckets / Feed Tubs,2769,2769,22.13,853.5
S00174,Rubber Matting (for stalls and walkways),4989,4989,33.48,1687.11
S00175,Feed Buckets / Feed Tubs,1529,1529,25.01,1172.35
S00176,Stable Brooms / Yard Brushes,3887,3887,10.2,1565.83
S00177,Feed Buckets / Feed Tubs,496,496,15.73,1202.45
S00178,Stable Brooms / Yard Brushes,3937,3937,6.6,1809.7
S00179,Feed Buckets / Feed Tubs,457,457,13.09,130.24
S00180,Water Troughs / Water Buckets,2401,2401,29.43,2084.69
S00181,Water Troughs / Water Buckets,2154,2154,1.99,1517.36
S00182,Muck Forks / Stable Forks,4869,4869,3.05,688.85
S00183,Rubber Matting (for stalls and walkways),1059,1059,12.72,1473.83
S00184,Muck Forks / Stable Forks,69,69,30.68,2321.18
S00185,Muck Forks / Stable Forks,720,720,18.13,457.74
S00186,Feed Buckets / Feed Tubs,434,434,6.49,2090.6
S00187,Rubber Matting (for stalls and walkways),2143,1913,30.23,94.55
S00188,Stable Brooms / Yard Brushes,4126,4126,10.72,577.86
S00189,Feed Buckets / Feed Tubs,3718,3718,26.39,1874.65
S00190,Shovels / Rakes,4586,4586,30.86,1972.71
S00191,Muck Forks / Stable Forks,2891,2891,17.56,1955.12
S00192,Manure Scoops,185,185,16.07,2283.06
S00193,Feed Buckets / Feed Tubs,1523,1523,22.6,1686.14
S00194,Feed Buckets / Feed Tubs,416,416,34.87,2141.64
S00195,Hay Nets / Hay Bags,4236,4236,31.92,1588.65
S00196,Storage Bins / Feed Storage,4129,4129,28.76,1140.68
S00197,Shovels / Rakes,2011,1874,4.49,44.63
S00198,Hay Nets / Hay Bags,2965,2965,18.79,587.2
S00199,Water Troughs / Water Buckets,228,228,16.49,45.35
S00200,Muck Forks / Stable Forks,4921,4921,15.78,619.38
S00201,Manure Scoops,2661,2661,4.1,1668.42
S00202,Muck Forks / Stable Forks,3112,3112,5.86,480.04
S00203,Water Troughs / Water Buckets,104,104,29.5,1141.21
S00204,Storage Bins / Feed Storage,2682,2682,22.58,1685.86
S00205,Water Troughs / Water Buckets,2420,2420,16.31,1206.61
S00206,Rubber Matting (for stalls and walkways),427,423,25.98,1081.33
S00207,Shovels / Rakes,2354,2354,16.29,1295.31
S00208,Storage Bins / Feed Storage,717,717,9.34,583.27
S00209,Stable Brooms / Yard Brushes,2345,2345,17.57,845.42
S00210,Feed Buckets / Feed Tubs,393,393,9.01,1436.44
S00211,Manure Scoops,1951,1951,25.13,1178.79
S00212,Muck Forks / Stable Forks,2153,2153,13.34,1110.02
S00213,Stable Brooms / Yard Brushes,3898,3898,10.94,303.7
S00214,Feed Buckets / Feed Tubs,1319,1319,25.56,984.12
S00215,Feed Buckets / Feed Tubs,4799,4799,34.07,594.1
S00216,Shovels / Rakes,1433,1433,21.8,511.43
S00217,Rubber Matting (for stalls and walkways),204,204,28.98,2346.75
S00218,Manure Scoops,178,178,1.16,1218.59
S00219,Stable Brooms / Yard Brushes,3373,3373,21.38,2450.63
S00220,Hay Nets / Hay Bags,3629,3629,25.83,1906.32
S00221,Stable Brooms / Yard Brushes,4274,4274,33.09,233.02
S00222,Water Troughs / Water Buckets,419,419,16.32,1469.27
S00223,Muck Forks / Stable Forks,1192,1127,28.69,1087.76
S00224,Rubber Matting (for stalls and walkways),421,421,32.6,2281.57
S00225,Manure Scoops,4655,4655,4.85,1606.16
S00226,Water Troughs / Water Buckets,450,450,27.7,2438.77
S00227,Feed Buckets / Feed Tubs,4812,4812,25.39,760.17
S00228,Rubber Matting (for stalls and walkways),3879,3879,10.57,416.62
S00229,Water Troughs / Water Buckets,3585,3585,17.6,1402.7
S00230,Shovels / Rakes,2399,2399,16.54,775.44
S00231,Feed Buckets / Feed Tubs,1405,1405,9.36,206.97
S00232,Shovels / Rakes,4830,4830,9.31,1456.97
S00233,Rubber Matting (for stalls and walkways),3592,3592,4.27,2413.24
S00234,Feed Buckets / Feed Tubs,1830,1830,24.64,159.78
S00235,Stable Brooms / Yard Brushes,4094,4094,6.44,1297.94
S00236,Stable Brooms / Yard Brushes,1709,1709,21.4,1595.48
S00237,Stable Brooms / Yard Brushes,1831,1831,19.04,2479.93
S00238,Shovels / Rakes,4590,4590,15.45,635.71
S00239,Hay Nets / Hay Bags,1331,1331,27.28,2492.42
S00240,Hay Nets / Hay Bags,1686,1686,7.05,727.14
S00241,Water Troughs / Water Buckets,2980,2980,10.19,185.91
S00242,Hay Nets / Hay Bags,1123,1123,30.52,1938.65
S00243,Manure Scoops,3308,3308,33.57,552.77
S00244,Shovels / Rakes,3154,2984,32.66,1785.68
S00245,Rubber Matting (for stalls and walkways),3220,3220,20.82,1373.09
S00246,Muck Forks / Stable Forks,4149,4149,29.57,181.04
S00247,Muck Forks / Stable Forks,4352,4352,1.97,1162.73
S00248,Water Troughs / Water Buckets,793,793,4.25,1198.24
S00249,Stable Brooms / Yard Brushes,4445,4445,31.02,1465.5
S00250,Rubber Matting (for stalls and walkways),3426,3426,28.34,86.49
S00251,Water Troughs / Water Buckets,1857,1857,10.05,2155.82
S00252,Water Troughs / Water Buckets,1520,1520,8.69,2054.04
S00253,Stable Brooms / Yard Brushes,3490,3439,9.72,430.61
S00254,Storage Bins / Feed Storage,3598,3598,21.84,2384.39
S00255,Manure Scoops,4405,4405,30.51,465.44
S00256,Muck Forks / Stable Forks,1508,1508,17.6,290.37
S00257,Manure Scoops,743,743,21.89,1227.25
S00258,Feed Buckets / Feed Tubs,1672,1672,30.92,1861.78
S00259,Feed Buckets / Feed Tubs,3482,3482,2.82,884.79
S00260,Water Troughs / Water Buckets,1970,1970,31.09,2481.31
S00261,Manure Scoops,4413,4413,24.26,1825.05
S00262,Water Troughs / Water Buckets,4702,4702,3.48,2369.84
S00263,Storage Bins / Feed Storage,2141,2141,33.16,1394.39
S00264,Feed Buckets / Feed Tubs,2955,2955,7.36,2133.44
S00265,Storage Bins / Feed Storage,2130,2130,17.66,126.1
S00266,Feed Buckets / Feed Tubs,2212,2212,1.45,1809.86
S00267,Manure Scoops,1251,1251,14.05,2450.72
S00268,Stable Brooms / Yard Brushes,221,221,12.08,1675
S00269,Hay Nets / Hay Bags,2364,2364,30.52,463.99
S00270,Water Troughs / Water Buckets,2946,2946,24.09,1760.92
S00271,Manure Scoops,1520,1520,2.76,1798.74
S00272,Rubber Matting (for stalls and walkways),1566,1566,18.38,2274.88
S00273,Storage Bins / Feed Storage,706,706,17.97,144.14
S00274,Feed Buckets / Feed Tubs,3643,3643,10.48,1301.67
S00275,Stable Brooms / Yard Brushes,2264,2264,5.79,1651.13
S00276,Feed Buckets / Feed Tubs,999,999,20.5,200.44
S00277,Muck Forks / Stable Forks,4698,4698,12.56,46.34
S00278,Muck Forks / Stable Forks,3543,3543,33.58,848.05
S00279,Stable Brooms / Yard Brushes,3342,3342,1.71,1528.45
S00280,Feed Buckets / Feed Tubs,1290,1290,32.38,602.26
S00281,Water Troughs / Water Buckets,1668,1588,15.64,2030.23
S00282,Muck Forks / Stable Forks,1232,1232,14.69,1279.06
S00283,Shovels / Rakes,397,397,29.55,1018.45
S00284,Hay Nets / Hay Bags,4303,4303,14.43,1805.44
S00285,Hay Nets / Hay Bags,4067,4067,17.83,1776.06
S00286,Rubber Matting (for stalls and walkways),3212,3212,17.63,1198.96
S00287,Water Troughs / Water Buckets,4608,4608,25.73,715.35
S00288,Feed Buckets / Feed Tubs,1343,1343,13.22,1442.69
S00289,Manure Scoops,3409,3409,8.11,1719.01
S00290,Feed Buckets / Feed Tubs,2251,2251,16.18,313.51
S00291,Shovels / Rakes,4581,4581,NULL,1713.06
S00292,Storage Bins / Feed Storage,2222,2222,33.63,2388.32
S00293,Muck Forks / Stable Forks,1296,1296,24.41,2393.37
S00294,Stable Brooms / Yard Brushes,103,103,13.86,1102.44
S00295,Stable Brooms / Yard Brushes,1041,1041,NULL,1277.91
S00296,Water Troughs / Water Buckets,2118,2118,28.58,1059.6
S00297,Water Troughs / Water Buckets,553,553,6.8,791.96
S00298,Muck Forks / Stable Forks,1451,1451,20.73,2059.68
S00299,Storage Bins / Feed Storage,1725,1725,5.44,643.48
S00300,Feed Buckets / Feed Tubs,4404,4404,17.99,1041.36
S00301,Storage Bins / Feed Storage,341,341,32.1,1698.68
S00302,Rubber Matting (for stalls and walkways),3331,3331,6.4,137.35
S00303,Storage Bins / Feed Storage,3931,3931,18.57,1612.12
S00304,Shovels / Rakes,3404,3404,34.24,1613.54
S00305,Feed Buckets / Feed Tubs,1505,1505,22.36,2469.95
S00306,Stable Brooms / Yard Brushes,4162,4162,28.56,597.59
S00307,Rubber Matting (for stalls and walkways),3960,3922,25.21,713.41
S00308,Stable Brooms / Yard Brushes,1616,1616,1.2,162.81
S00309,Stable Brooms / Yard Brushes,3419,3419,27.03,2302.3
S00310,Water Troughs / Water Buckets,2668,2668,1.54,1839.04
S00311,Feed Buckets / Feed Tubs,2759,2759,23.48,1213.26
S00312,Shovels / Rakes,3762,3762,14.79,561.59
S00313,Stable Brooms / Yard Brushes,2212,2212,10.13,748.13
S00314,Muck Forks / Stable Forks,651,651,17.74,1238.15
S00315,Manure Scoops,4714,4714,3.33,1735.17
S00316,Stable Brooms / Yard Brushes,3080,3080,27.09,939.42
S00317,Manure Scoops,3744,3744,14.28,221.23
S00318,Water Troughs / Water Buckets,1810,1810,26.58,1237.89
S00319,Rubber Matting (for stalls and walkways),4207,4207,11.08,1451
S00320,Shovels / Rakes,698,698,29.7,446.68
S00321,Feed Buckets / Feed Tubs,4546,4546,5.87,953.94
S00322,Manure Scoops,4218,4218,27.73,1070.34
S00323,Feed Buckets / Feed Tubs,813,813,12.99,782.43
S00324,Hay Nets / Hay Bags,484,484,9.03,2146.78
S00325,Water Troughs / Water Buckets,2663,2663,9.88,984.89
S00326,Muck Forks / Stable Forks,1727,1727,19.02,318.73
S00327,Storage Bins / Feed Storage,1270,1270,11.28,242.95
S00328,Stable Brooms / Yard Brushes,444,444,21.22,2197.31
S00329,Storage Bins / Feed Storage,250,250,9.86,2497.04
S00330,Muck Forks / Stable Forks,4791,4791,0.92,1688.06
S00331,Muck Forks / Stable Forks,3544,3544,18.58,558.44
S00332,Stable Brooms / Yard Brushes,4396,4396,21.23,2374.17
S00333,Muck Forks / Stable Forks,4630,4630,1.77,289.5
S00334,Muck Forks / Stable Forks,3106,3106,23.25,439.38
S00335,Muck Forks / Stable Forks,2387,2387,26.57,1643.5
S00336,Stable Brooms / Yard Brushes,1238,1238,18.14,2275.31
S00337,Manure Scoops,826,826,25.25,367.9
S00338,Muck Forks / Stable Forks,2528,2528,2.39,866.98
S00339,Storage Bins / Feed Storage,825,825,7.55,90.78
S00340,Feed Buckets / Feed Tubs,1048,1048,1.94,603.04
S00341,Muck Forks / Stable Forks,4466,4466,2.78,220.94
S00342,Feed Buckets / Feed Tubs,4500,4500,3.75,267
S00343,Water Troughs / Water Buckets,924,924,1.08,1279.58
S00344,Stable Brooms / Yard Brushes,4584,4584,31.56,2254.6
S00345,Stable Brooms / Yard Brushes,394,354,25.56,1626.49
S00346,Storage Bins / Feed Storage,2465,2465,2.81,1629.77
S00347,Stable Brooms / Yard Brushes,2156,2156,14.69,1360.91
S00348,Stable Brooms / Yard Brushes,2968,2968,28.03,2313.25
S00349,Manure Scoops,2443,2443,24.11,550.72
S00350,Water Troughs / Water Buckets,4508,4508,6.84,2250.21
S00351,Water Troughs / Water Buckets,1577,1577,8.98,1904
S00352,Rubber Matting (for stalls and walkways),3390,3390,16.84,552.82
S00353,Rubber Matting (for stalls and walkways),4394,4394,13.67,398.81
S00354,Shovels / Rakes,4929,4929,18.93,671.27
S00355,Shovels / Rakes,2304,2304,12.77,867.85
S00356,Feed Buckets / Feed Tubs,868,NULL,10.07,975.09
S00357,Water Troughs / Water Buckets,2635,2635,19.25,122.18
S00358,Feed Buckets / Feed Tubs,4692,4692,18.08,1230.97
S00359,Rubber Matting (for stalls and walkways),2122,2122,13.75,2458.07
S00360,Manure Scoops,2915,2915,1.31,63.38
S00361,Muck Forks / Stable Forks,2319,2319,28.95,112.59
S00362,Storage Bins / Feed Storage,2028,2028,18.05,630.23
S00363,Manure Scoops,1430,1430,24.02,2019.11
S00364,Storage Bins / Feed Storage,4529,4529,6.02,1111.29
S00365,Muck Forks / Stable Forks,3290,3290,16.53,1747.32
S00366,Shovels / Rakes,1193,1193,31.84,165.81
S00367,Hay Nets / Hay Bags,405,405,23.73,1728.11
S00368,Feed Buckets / Feed Tubs,785,785,0.95,1235.61
S00369,Stable Brooms / Yard Brushes,1320,1267,24.61,1217.4
S00370,Hay Nets / Hay Bags,3343,3343,12.85,671.6
S00371,Manure Scoops,3607,3607,12.39,543.1
S00372,Water Troughs / Water Buckets,2619,2619,33.22,160.28
S00373,Stable Brooms / Yard Brushes,2056,2056,4.87,371.17
S00374,Hay Nets / Hay Bags,3670,3670,11.94,1066.56
S00375,Rubber Matting (for stalls and walkways),1932,1932,29.96,1861.14
S00376,Manure Scoops,3096,3096,28.89,2454.34
S00377,Shovels / Rakes,2314,2314,4.02,647.09
S00378,Hay Nets / Hay Bags,4874,4874,14.95,1740.05
S00379,Muck Forks / Stable Forks,2646,2646,25.24,1388.28
S00380,Manure Scoops,3839,3839,27.19,2072.83
S00381,Manure Scoops,73,73,22.21,158.02
S00382,Shovels / Rakes,1785,1785,10.05,2011.37
S00383,Rubber Matting (for stalls and walkways),2015,2015,23.63,479.52
S00384,Water Troughs / Water Buckets,1513,1513,5.32,820.13
S00385,Rubber Matting (for stalls and walkways),4559,4559,11.02,913.11
S00386,Hay Nets / Hay Bags,3612,3612,23.45,1978.4
S00387,Stable Brooms / Yard Brushes,1406,1406,11.74,360.66
S00388,Rubber Matting (for stalls and walkways),4689,4689,13.61,553.42
S00389,Rubber Matting (for stalls and walkways),2401,2401,20.02,928.3
S00390,Storage Bins / Feed Storage,1400,1400,25.58,2450.58
S00391,Water Troughs / Water Buckets,4844,4844,4.23,2443.19
S00392,Muck Forks / Stable Forks,475,475,9.92,2374.85
S00393,Hay Nets / Hay Bags,1743,1743,22.35,1864.13
S00394,Rubber Matting (for stalls and walkways),3303,3303,5.06,1582.46
S00395,Hay Nets / Hay Bags,1238,1116,31.97,1639.12
S00396,Storage Bins / Feed Storage,2842,2842,26.36,923.44
S00397,Storage Bins / Feed Storage,1867,1867,3.07,1689.86
S00398,Muck Forks / Stable Forks,2860,2860,22.71,445.15
S00399,Feed Buckets / Feed Tubs,3612,3612,2.63,1466.5
S00400,Shovels / Rakes,3863,3863,7.34,267.96
S00401,Hay Nets / Hay Bags,1532,1532,1.04,1582.84
S00402,Feed Buckets / Feed Tubs,2966,2966,32.61,1818.18
S00403,Feed Buckets / Feed Tubs,1667,1667,22.72,1062.04
S00404,Feed Buckets / Feed Tubs,1694,1694,24.85,2068.39
S00405,Stable Brooms / Yard Brushes,3707,3707,32.54,2315.29
S00406,Feed Buckets / Feed Tubs,2121,2121,29.39,1178.16
S00407,Shovels / Rakes,2887,2887,14.94,1676.61
S00408,Hay Nets / Hay Bags,2531,2531,10.44,1977.1
S00409,Storage Bins / Feed Storage,510,510,19.44,1463.24
S00410,Rubber Matting (for stalls and walkways),1413,1413,16.71,228.6
S00411,Shovels / Rakes,436,436,3.76,2246.84
S00412,Water Troughs / Water Buckets,3674,3674,28.48,2419.78
S00413,Feed Buckets / Feed Tubs,67,67,21.93,2273.52
S00414,Storage Bins / Feed Storage,2928,2928,8.41,2140.71
S00415,Feed Buckets / Feed Tubs,2693,2693,20.47,1566.7
S00416,Rubber Matting (for stalls and walkways),1138,1138,25.62,730.83
S00417,Manure Scoops,2178,2178,24.73,771.51
S00418,Rubber Matting (for stalls and walkways),4541,4541,26.39,2470.21
S00419,Feed Buckets / Feed Tubs,2315,2315,8.66,1743.12
S00420,Stable Brooms / Yard Brushes,1647,1647,18.01,493.28
S00421,Rubber Matting (for stalls and walkways),789,789,11.28,480.06
S00422,Storage Bins / Feed Storage,2341,2341,1.77,57.01
S00423,Shovels / Rakes,3450,3163,29.67,1934.11
S00424,Shovels / Rakes,205,205,7.59,97.45
S00425,Stable Brooms / Yard Brushes,1086,1078,30.97,592.01
S00426,Storage Bins / Feed Storage,1597,1597,6.1,2487.32
S00427,Rubber Matting (for stalls and walkways),3006,3006,31.78,1772.89
S00428,Rubber Matting (for stalls and walkways),1268,1268,0.89,1796.32
S00429,Manure Scoops,4071,3857,26.11,232.98
S00430,Stable Brooms / Yard Brushes,2988,2988,34.65,2125.57
S00431,Feed Buckets / Feed Tubs,2328,2328,14.14,804.02
S00432,Muck Forks / Stable Forks,4347,4347,25.79,1904.18
S00433,Manure Scoops,1179,1179,8.03,1883.1
